periode,kecamatan,jumlah_penduduk,kasus,kasus_meninggal
5/2017,Candisari,"81.367,0","2,0","0,0"
6/2017,Candisari,"81.367,0","0,0","0,0"
7/2017,Candisari,"81.367,0","0,0","0,0"
8/2017,Candisari,"81.367,0","0,0","0,0"
9/2017,Candisari,"81.367,0","0,0","0,0"
10/2017,Candisari,"81.367,0","0,0","0,0"
11/2017,Candisari,"81.367,0","0,0","0,0"
12/2017,Candisari,"81.367,0","0,0","0,0"
1/2017,Gajah Mungkur,"60.080,0","3,0","0,0"
2/2017,Gajah Mungkur,"60.080,0","3,0","0,0"
3/2017,Gajah Mungkur,"60.080,0","1,0","0,0"
4/2017,Gajah Mungkur,"60.080,0","1,0","0,0"
5/2017,Gajah Mungkur,"60.080,0","0,0","0,0"
6/2017,Gajah Mungkur,"60.080,0","0,0","0,0"
7/2017,Gajah Mungkur,"60.080,0","0,0","0,0"
8/2017,Gajah Mungkur,"60.080,0","0,0","0,0"
9/2017,Gajah Mungkur,"60.080,0","0,0","0,0"
10/2017,Gajah Mungkur,"60.080,0","1,0","0,0"
11/2017,Gajah Mungkur,"60.080,0","0,0","0,0"
12/2017,Gajah Mungkur,"60.080,0","0,0","0,0"
1/2017,Gayamsari,"74.158,0","2,0","0,0"
2/2017,Gayamsari,"74.158,0","1,0","0,0"
3/2017,Gayamsari,"74.158,0","1,0","0,0"
4/2017,Gayamsari,"74.158,0","1,0","0,0"
5/2017,Gayamsari,"74.158,0","0,0","0,0"
6/2017,Gayamsari,"74.158,0","0,0","0,0"
7/2017,Gayamsari,"74.158,0","0,0","0,0"
8/2017,Gayamsari,"74.158,0","0,0","0,0"
9/2017,Gayamsari,"74.158,0","0,0","0,0"
10/2017,Gayamsari,"74.158,0","0,0","0,0"
11/2017,Gayamsari,"74.158,0","0,0","0,0"
12/2017,Gayamsari,"74.158,0","1,0","0,0"
1/2017,Genuk,"108.533,0","11,0","0,0"
2/2017,Genuk,"108.533,0","5,0","0,0"
3/2017,Genuk,"108.533,0","8,0","0,0"
4/2017,Genuk,"108.533,0","2,0","0,0"
5/2017,Genuk,"108.533,0","1,0","0,0"
6/2017,Genuk,"108.533,0","1,0","0,0"
7/2017,Genuk,"108.533,0","0,0","0,0"
8/2017,Genuk,"108.533,0","0,0","0,0"
9/2017,Genuk,"108.533,0","0,0","0,0"
10/2017,Genuk,"108.533,0","0,0","0,0"
11/2017,Genuk,"108.533,0","0,0","0,0"
12/2017,Genuk,"108.533,0","1,0","0,0"
1/2017,Gunungpati,"89.809,0","5,0","0,0"
2/2017,Gunungpati,"89.809,0","0,0","0,0"
3/2017,Gunungpati,"89.809,0","1,0","0,0"
4/2017,Gunungpati,"89.809,0","1,0","0,0"
5/2017,Gunungpati,"89.809,0","1,0","0,0"
6/2017,Gunungpati,"89.809,0","0,0","0,0"
7/2017,Gunungpati,"89.809,0","0,0","0,0"
8/2017,Gunungpati,"89.809,0","0,0","0,0"
9/2017,Gunungpati,"89.809,0","0,0","0,0"
10/2017,Gunungpati,"89.809,0","0,0","0,0"
11/2017,Gunungpati,"89.809,0","1,0","0,0"
12/2017,Gunungpati,"89.809,0","0,0","0,0"
1/2017,Mijen,"68.042,0","1,0","0,0"
2/2017,Mijen,"68.042,0","3,0","0,0"
3/2017,Mijen,"68.042,0","2,0","0,0"
4/2017,Mijen,"68.042,0","0,0","0,0"
5/2017,Mijen,"68.042,0","3,0","0,0"
6/2017,Mijen,"68.042,0","1,0","0,0"
7/2017,Mijen,"68.042,0","0,0","0,0"
8/2017,Mijen,"68.042,0","0,0","0,0"
9/2017,Mijen,"68.042,0","0,0","0,0"
10/2017,Mijen,"68.042,0","0,0","0,0"
11/2017,Mijen,"68.042,0","0,0","0,0"
12/2017,Mijen,"68.042,0","0,0","0,0"
1/2017,Ngaliyan,"136.791,0","6,0","0,0"
2/2017,Ngaliyan,"136.791,0","5,0","0,0"
3/2017,Ngaliyan,"136.791,0","2,0","0,0"
4/2017,Ngaliyan,"136.791,0","0,0","0,0"
5/2017,Ngaliyan,"136.791,0","1,0","0,0"
6/2017,Ngaliyan,"136.791,0","0,0","0,0"
7/2017,Ngaliyan,"136.791,0","0,0","0,0"
8/2017,Ngaliyan,"136.791,0","0,0","0,0"
9/2017,Ngaliyan,"136.791,0","0,0","0,0"
10/2017,Ngaliyan,"136.791,0","0,0","0,0"
11/2017,Ngaliyan,"136.791,0","0,0","0,0"
12/2017,Ngaliyan,"136.791,0","0,0","0,0"
1/2017,Pedurungan,"187.938,0","13,0","0,0"
2/2017,Pedurungan,"187.938,0","7,0","0,0"
3/2017,Pedurungan,"187.938,0","5,0","0,0"
4/2017,Pedurungan,"187.938,0","3,0","1,0"
5/2017,Pedurungan,"187.938,0","4,0","0,0"
6/2017,Pedurungan,"187.938,0","2,0","0,0"
7/2017,Pedurungan,"187.938,0","0,0","0,0"
8/2017,Pedurungan,"187.938,0","3,0","0,0"
9/2017,Pedurungan,"187.938,0","1,0","0,0"
10/2017,Pedurungan,"187.938,0","0,0","0,0"
11/2017,Pedurungan,"187.938,0","0,0","0,0"
12/2017,Pedurungan,"187.938,0","1,0","0,0"
1/2017,Semarang Barat,"160.004,0","5,0","0,0"
2/2017,Semarang Barat,"160.004,0","7,0","0,0"
3/2017,Semarang Barat,"160.004,0","9,0","1,0"
4/2017,Semarang Barat,"160.004,0","5,0","0,0"
5/2017,Semarang Barat,"160.004,0","0,0","0,0"
6/2017,Semarang Barat,"160.004,0","0,0","0,0"
7/2017,Semarang Barat,"160.004,0","2,0","0,0"
8/2017,Semarang Barat,"160.004,0","2,0","0,0"
9/2017,Semarang Barat,"160.004,0","0,0","0,0"
10/2017,Semarang Barat,"160.004,0","0,0","0,0"
11/2017,Semarang Barat,"160.004,0","0,0","0,0"
12/2017,Semarang Barat,"160.004,0","1,0","0,0"
1/2017,Semarang Selatan,"75.757,0","3,0","0,0"
2/2017,Semarang Selatan,"75.757,0","1,0","1,0"
3/2017,Semarang Selatan,"75.757,0","1,0","0,0"
4/2017,Semarang Selatan,"75.757,0","1,0","0,0"
5/2017,Semarang Selatan,"75.757,0","0,0","0,0"
6/2017,Semarang Selatan,"75.757,0","2,0","0,0"
7/2017,Semarang Selatan,"75.757,0","0,0","0,0"
8/2017,Semarang Selatan,"75.757,0","0,0","0,0"
9/2017,Semarang Selatan,"75.757,0","1,0","0,0"
10/2017,Semarang Selatan,"75.757,0","0,0","0,0"
11/2017,Semarang Selatan,"75.757,0","0,0","0,0"
12/2017,Semarang Selatan,"75.757,0","0,0","0,0"
1/2017,Semarang Tengah,"62.639,0","0,0","0,0"
2/2017,Semarang Tengah,"62.639,0","2,0","0,0"
3/2017,Semarang Tengah,"62.639,0","2,0","0,0"
4/2017,Semarang Tengah,"62.639,0","0,0","0,0"
5/2017,Semarang Tengah,"62.639,0","0,0","0,0"
6/2017,Semarang Tengah,"62.639,0","0,0","0,0"
7/2017,Semarang Tengah,"62.639,0","0,0","0,0"
8/2017,Semarang Tengah,"62.639,0","0,0","0,0"
9/2017,Semarang Tengah,"62.639,0","0,0","0,0"
10/2017,Semarang Tengah,"62.639,0","0,0","0,0"
11/2017,Semarang Tengah,"62.639,0","1,0","1,0"
12/2017,Semarang Tengah,"62.639,0","0,0","0,0"
1/2017,Semarang Timur,"75.473,0","2,0","0,0"
2/2017,Semarang Timur,"75.473,0","3,0","0,0"
3/2017,Semarang Timur,"75.473,0","4,0","0,0"
4/2017,Semarang Timur,"75.473,0","2,0","0,0"
5/2017,Semarang Timur,"75.473,0","1,0","0,0"
6/2017,Semarang Timur,"75.473,0","0,0","0,0"
7/2017,Semarang Timur,"75.473,0","0,0","0,0"
8/2017,Semarang Timur,"75.473,0","0,0","0,0"
9/2017,Semarang Timur,"75.473,0","0,0","0,0"
10/2017,Semarang Timur,"75.473,0","0,0","0,0"
11/2017,Semarang Timur,"75.473,0","1,0","0,0"
12/2017,Semarang Timur,"75.473,0","0,0","0,0"
1/2017,Semarang Utara,"125.956,0","7,0","0,0"
2/2017,Semarang Utara,"125.956,0","5,0","0,0"
3/2017,Semarang Utara,"125.956,0","2,0","0,0"
4/2017,Semarang Utara,"125.956,0","3,0","2,0"
5/2017,Semarang Utara,"125.956,0","2,0","0,0"
6/2017,Semarang Utara,"125.956,0","0,0","0,0"
7/2017,Semarang Utara,"125.956,0","0,0","0,0"
8/2017,Semarang Utara,"125.956,0","0,0","0,0"
9/2017,Semarang Utara,"125.956,0","0,0","0,0"
10/2017,Semarang Utara,"125.956,0","0,0","0,0"
11/2017,Semarang Utara,"125.956,0","0,0","0,0"
12/2017,Semarang Utara,"125.956,0","0,0","0,0"
1/2017,Tembalang,"171.993,0","22,0","0,0"
2/2017,Tembalang,"171.993,0","13,0","0,0"
3/2017,Tembalang,"171.993,0","9,0","1,0"
4/2017,Tembalang,"171.993,0","2,0","0,0"
5/2017,Tembalang,"171.993,0","4,0","0,0"
6/2017,Tembalang,"171.993,0","2,0","0,0"
7/2017,Tembalang,"171.993,0","5,0","1,0"
8/2017,Tembalang,"171.993,0","1,0","0,0"
9/2017,Tembalang,"171.993,0","0,0","0,0"
10/2017,Tembalang,"171.993,0","3,0","0,0"
11/2017,Tembalang,"171.993,0","0,0","0,0"
12/2017,Tembalang,"171.993,0","2,0","0,0"
1/2017,Tugu,"32.873,0","0,0","0,0"
2/2017,Tugu,"32.873,0","1,0","0,0"
3/2017,Tugu,"32.873,0","3,0","0,0"
4/2017,Tugu,"32.873,0","1,0","0,0"
5/2017,Tugu,"32.873,0","0,0","0,0"
6/2017,Tugu,"32.873,0","0,0","0,0"
7/2017,Tugu,"32.873,0","0,0","0,0"
8/2017,Tugu,"32.873,0","0,0","0,0"
9/2017,Tugu,"32.873,0","0,0","0,0"
10/2017,Tugu,"32.873,0","0,0","0,0"
11/2017,Tugu,"32.873,0","0,0","0,0"
12/2017,Tugu,"32.873,0","0,0","0,0"
1/2018,Banyumanik,"139.927,0","0,0","0,0"
2/2018,Banyumanik,"139.927,0","1,0","0,0"
3/2018,Banyumanik,"139.927,0","0,0","0,0"
4/2018,Banyumanik,"139.927,0","0,0","0,0"
5/2018,Banyumanik,"139.927,0","2,0","0,0"
6/2018,Banyumanik,"139.927,0","1,0","0,0"
7/2018,Banyumanik,"139.927,0","2,0","0,0"
8/2018,Banyumanik,"139.927,0","0,0","0,0"
9/2018,Banyumanik,"139.927,0","1,0","0,0"
10/2018,Banyumanik,"139.927,0","2,0","0,0"
11/2018,Banyumanik,"139.927,0","2,0","0,0"
12/2018,Banyumanik,"139.927,0","6,0","0,0"
1/2018,Candisari,"80.490,0","0,0","0,0"
2/2018,Candisari,"80.490,0","0,0","0,0"
3/2018,Candisari,"80.490,0","0,0","0,0"
4/2018,Candisari,"80.490,0","0,0","0,0"
5/2018,Candisari,"80.490,0","1,0","0,0"
6/2018,Candisari,"80.490,0","0,0","0,0"
7/2018,Candisari,"80.490,0","0,0","0,0"
8/2018,Candisari,"80.490,0","1,0","0,0"
9/2018,Candisari,"80.490,0","0,0","0,0"
10/2018,Candisari,"80.490,0","0,0","0,0"
11/2018,Candisari,"80.490,0","0,0","0,0"
12/2018,Candisari,"80.490,0","7,0","0,0"
1/2018,Gajah Mungkur,"60.146,0","1,0","0,0"
2/2018,Gajah Mungkur,"60.146,0","2,0","0,0"
3/2018,Gajah Mungkur,"60.146,0","1,0","0,0"
4/2018,Gajah Mungkur,"60.146,0","0,0","0,0"
5/2018,Gajah Mungkur,"60.146,0","0,0","0,0"
6/2018,Gajah Mungkur,"60.146,0","1,0","0,0"
7/2018,Gajah Mungkur,"60.146,0","0,0","0,0"
8/2018,Gajah Mungkur,"60.146,0","0,0","0,0"
9/2018,Gajah Mungkur,"60.146,0","0,0","0,0"
10/2018,Gajah Mungkur,"60.146,0","0,0","0,0"
11/2018,Gajah Mungkur,"60.146,0","0,0","0,0"
12/2018,Gajah Mungkur,"60.146,0","3,0","0,0"
1/2018,Gayamsari,"73.954,0","1,0","0,0"
2/2018,Gayamsari,"73.954,0","1,0","0,0"
3/2018,Gayamsari,"73.954,0","0,0","0,0"
4/2018,Gayamsari,"73.954,0","1,0","0,0"
5/2018,Gayamsari,"73.954,0","0,0","0,0"
6/2018,Gayamsari,"73.954,0","0,0","0,0"
7/2018,Gayamsari,"73.954,0","0,0","0,0"
8/2018,Gayamsari,"73.954,0","0,0","0,0"
9/2018,Gayamsari,"73.954,0","0,0","0,0"
10/2018,Gayamsari,"73.954,0","0,0","0,0"
11/2018,Gayamsari,"73.954,0","0,0","0,0"
12/2018,Gayamsari,"73.954,0","0,0","0,0"
1/2018,Genuk,"114.252,0","0,0","0,0"
2/2018,Genuk,"114.252,0","4,0","0,0"
3/2018,Genuk,"114.252,0","1,0","0,0"
4/2018,Genuk,"114.252,0","1,0","0,0"
5/2018,Genuk,"114.252,0","1,0","0,0"
6/2018,Genuk,"114.252,0","0,0","0,0"
7/2018,Genuk,"114.252,0","1,0","0,0"
8/2018,Genuk,"114.252,0","0,0","0,0"
9/2018,Genuk,"114.252,0","0,0","0,0"
10/2018,Genuk,"114.252,0","1,0","0,0"
11/2018,Genuk,"114.252,0","1,0","0,0"
12/2018,Genuk,"114.252,0","0,0","0,0"
1/2018,Gunungpati,"93.866,0","1,0","0,0"
2/2018,Gunungpati,"93.866,0","2,0","0,0"
3/2018,Gunungpati,"93.866,0","1,0","0,0"
4/2018,Gunungpati,"93.866,0","0,0","0,0"
5/2018,Gunungpati,"93.866,0","1,0","0,0"
6/2018,Gunungpati,"93.866,0","0,0","0,0"
7/2018,Gunungpati,"93.866,0","0,0","0,0"
8/2018,Gunungpati,"93.866,0","0,0","0,0"
9/2018,Gunungpati,"93.866,0","0,0","0,0"
10/2018,Gunungpati,"93.866,0","0,0","0,0"
11/2018,Gunungpati,"93.866,0","0,0","0,0"
12/2018,Gunungpati,"93.866,0","0,0","0,0"
1/2018,Mijen,"73.479,0","0,0","0,0"
2/2018,Mijen,"73.479,0","0,0","0,0"
3/2018,Mijen,"73.479,0","0,0","0,0"
4/2018,Mijen,"73.479,0","0,0","0,0"
5/2018,Mijen,"73.479,0","0,0","0,0"
6/2018,Mijen,"73.479,0","0,0","0,0"
7/2018,Mijen,"73.479,0","0,0","0,0"
8/2018,Mijen,"73.479,0","0,0","0,0"
9/2018,Mijen,"73.479,0","0,0","0,0"
10/2018,Mijen,"73.479,0","0,0","0,0"
11/2018,Mijen,"73.479,0","0,0","0,0"
12/2018,Mijen,"73.479,0","1,0","0,0"
1/2018,Ngaliyan,"138.618,0","0,0","0,0"
2/2018,Ngaliyan,"138.618,0","1,0","0,0"
3/2018,Ngaliyan,"138.618,0","1,0","0,0"
4/2018,Ngaliyan,"138.618,0","1,0","0,0"
5/2018,Ngaliyan,"138.618,0","0,0","0,0"
6/2018,Ngaliyan,"138.618,0","1,0","0,0"
7/2018,Ngaliyan,"138.618,0","0,0","0,0"
